Year,Month,Consumption(million gallons),Cost(million dollars),Cost per Gallon (dollars)
2000,January,1108.6,766.5,0.69
2000,February,1068.4,772.3,0.72
2000,March,1174.3,875.5,0.75
2000,April,1145.3,841.9,0.74
2000,May,1174.2,833.3,0.71
2000,June,1183.8,809.9,0.68
2000,July,1223.9,931.7,0.76
2000,August,1229.0,954.5,0.78
2000,September,1099.0,928.9,0.85
2000,October,1195.6,1052.0,0.88
2000,November,1151.9,1005.9,0.87
2000,December,1149.9,1038.2,0.9
2000,Total,13903.7,10810.6,0.78
2001,January,1153.4,983.0,0.85
2001,February,1066.8,898.3,0.84
2001,March,1181.7,936.5,0.79
2001,April,1124.4,865.5,0.77
2001,May,1175.4,946.4,0.81
2001,June,1184.4,951.8,0.8
2001,July,1213.7,937.2,0.77
2001,August,1245.8,948.4,0.76
2001,September,888.5,703.0,0.79
2001,October,971.7,688.2,0.71
2001,November,935.3,618.5,0.66
2001,December,970.9,548.0,0.56
2001,Total,13112.1,10024.7,0.76
% Chg over,2000,-5.69,-7.27,-1.67
2002,January,974.8,580.2,0.6
2002,February,907.1,556.5,0.61
2002,March,1042.6,639.0,0.61
2002,April,1007.3,696.2,0.69
2002,May,1041.5,726.3,0.7
2002,June,1062.7,707.2,0.67
2002,July,1108.9,781.6,0.7
2002,August,1106.1,795.0,0.72
2002,September,979.7,748.4,0.76
2002,October,1053.8,850.0,0.81
2002,November,989.0,758.4,0.77
2002,December,1013.7,764.0,0.75
2002,Total,12287.2,8602.9,0.7
% Chg over,2001,-6.29,-14.18,-8.42
2003,January,1027.6,855.2,0.83
2003,February,928.9,815.4,0.88
2003,March,1061.1,1050.7,0.99
2003,April,996.2,828.1,0.83
2003,May,1022.1,775.6,0.76
2003,June,1041.1,778.6,0.75
2003,July,1105.3,861.4,0.78
2003,August,1103.2,909.9,0.82
2003,September,993.6,796.5,0.8
2003,October,1055.0,857.5,0.81
2003,November,1007.5,844.7,0.84
2003,December,1075.4,941.8,0.88
2003,Total,12417.0,10315.4,0.83
% Chg over,2002,1.06,19.91,18.65
2004,January,1065.2,1008.2,0.95
2004,February,1032.4,997.4,0.97
2004,March,1140.5,1116.5,0.98
2004,April,1094.4,1092.5,1.0
2004,May,1120.4,1206.5,1.08
2004,June,1136.3,1218.3,1.07
2004,July,1181.6,1309.0,1.11
2004,August,1185.4,1392.0,1.17
2004,September,1058.2,1304.4,1.23
2004,October,1137.9,1562.7,1.37
2004,November,1084.8,1479.2,1.36
2004,December,1142.8,1454.4,1.27
2004,Total,13380.0,15141.2,1.13
% Chg over,2003,7.76,46.78,36.22
2005,January,1084.7,1378.2,1.27
2005,February,1017.0,1333.5,1.31
2005,March,1162.9,1675.5,1.44
2005,April,1098.7,1705.3,1.55
2005,May,1123.6,1699.2,1.51
2005,June,1148.9,1777.3,1.55
2005,July,1193.7,1915.2,1.6
2005,August,1185.4,2118.3,1.79
2005,September,1054.4,1986.0,1.88
2005,October,1062.0,2280.4,2.15
2005,November,1055.1,1961.0,1.86
2005,December,1097.8,1853.0,1.69
2005,Total,13284.2,21682.9,1.63
% Chg over,2004,-0.72,43.2,44.24
2006,January,1048.0,1874.3,1.79
2006,February,967.2,1754.9,1.81
2006,March,1118.0,2015.1,1.8
2006,April,1070.8,2026.3,1.89
2006,May,1084.9,2213.0,2.04
2006,June,1117.3,2294.3,2.05
2006,July,1141.9,2370.7,2.08
2006,August,1160.5,2460.3,2.12
2006,September,1052.0,2091.7,1.99
2006,October,1095.4,2041.9,1.86
2006,November,1061.6,1914.8,1.8
2006,December,1101.7,2048.1,1.86
2006,Total,13019.4,25105.4,1.93
% Chg over,2005,-1.99,15.78,18.14
2007,January,1062.2,1929.7,1.82
2007,February,970.1,1689.2,1.74
2007,March,1113.2,2019.1,1.81
2007,April,1075.9,2082.1,1.94
2007,May,1101.8,2248.2,2.04
2007,June,1114.5,2255.3,2.02
2007,July,1143.2,2391.2,2.09
2007,August,1157.2,2455.4,2.12
2007,September,1038.4,2183.8,2.1
2007,October,1092.0,2404.1,2.2
2007,November,1047.5,2541.9,2.43
2007,December,1083.0,2699.9,2.49
2007,Total,12998.8,26899.9,2.07
% Chg over,2006,-0.16,7.15,7.32
2008,January,1071.6,2747.8,2.56
2008,February,1025.7,2613.4,2.55
2008,March,1117.9,3197.0,2.86
2008,April,1059.6,3143.8,2.97
2008,May,1087.7,3465.6,3.19
2008,June,1094.8,3717.1,3.4
2008,July,1133.0,4184.2,3.69
2008,August,1101.5,3747.0,3.4
2008,September,925.3,3083.8,3.33
2008,October,968.3,3088.5,3.19
2008,November,909.1,2276.2,2.5
2008,December,975.0,1930.6,1.98
2008,Total,12469.4,37194.9,2.98
% Chg over,2007,-4.07,38.27,44.14
2009,January,922.1,1620.4,1.76
2009,February,849.6,1567.3,1.84
2009,March,966.3,1587.0,1.64
2009,April,935.7,1629.3,1.74
2009,May,949.3,1648.6,1.74
2009,June,973.1,1853.4,1.9
2009,July,1026.3,1961.2,1.91
2009,August,969.5,1965.4,2.03
2009,September,870.8,1735.9,1.99
2009,October,913.4,1821.3,1.99
2009,November,845.0,1812.7,2.15
2009,December,926.5,1965.9,2.12
2009,Total,11147.4,21168.5,1.9
% Chg over,2008,-10.6,-43.09,-36.34
2010,January,872.7,1931.6,2.21
2010,February,786.9,1696.7,2.16
2010,March,928.2,2046.0,2.2
2010,April,900.9,2075.2,2.3
2010,May,940.0,2189.7,2.33
2010,June,959.8,2090.8,2.18
2010,July,1010.8,2235.3,2.21
2010,August,994.4,2214.6,2.23
2010,September,914.9,1996.9,2.18
2010,October,925.0,2177.1,2.35
2010,November,891.7,2146.2,2.41
2010,December,931.5,2303.5,2.47
2010,Total,11056.7,25103.4,2.27
% Chg over,2009,-0.81,18.59,19.56
2011,January,861.6,2272.2,2.64
2011,February,794.2,2206.1,2.78
2011,March,944.0,2858.6,3.03
2011,April,909.7,2919.7,3.21
2011,May,921.9,2993.1,3.25
2011,June,953.7,2984.1,3.13
2011,July,978.8,3042.7,3.11
2011,August,952.9,2978.3,3.13
2011,September,866.7,2752.4,3.18
2011,October,895.0,2684.7,3.0
2011,November,859.9,2664.2,3.1
2011,December,889.7,2742.9,3.08
2011,Total,10828.3,33099.0,3.06
% Chg over,2010,-2.07,31.85,34.63
2012,January,808.5,2538.5,3.14
2012,February,788.3,2559.6,3.25
2012,March,891.3,2966.7,3.33
2012,April,844.9,2825.1,3.34
2012,May,885.0,2867.4,3.24
2012,June,905.7,2708.8,2.99
2012,July,918.7,2716.2,2.96
2012,August,904.8,2796.6,3.09
2012,September,816.1,2660.3,3.26
