Year,Quarter,U.S. Average (Current $) ,U.S. Average (Inflation-Adjusted $) 
1995,1,296.895553,603.8315022311489
1995,2,296.46272369211863,597.6691106766039
1995,3,287.514839535281,577.1023438317998
1995,4,287.77629227112993,574.8693656539252
1996,1,283.969691753475,562.1415162951059
1996,2,275.44798804094836,539.930846847575
1996,3,269.489045253635,525.4528343364595
1996,4,278.327825507358,538.8063792775522
1997,1,283.4035232778541,544.964787128482
1997,2,289.18607713879805,553.885807579539
1997,3,282.271787040157,538.5137276708533
1997,4,293.5119675637158,557.7612039929929
1998,1,304.74243481440726,577.5524803402733
1998,2,300.811831729672,567.0675731684486
1998,3,315.254155526531,591.9896811242451
1998,4,316.18113834240677,591.6784609290821
1999,1,331.7425818900918,618.4103626677214
1999,2,329.3342217859063,608.0106842343713
1999,3,317.222476601198,582.0314790637082
1999,4,317.9332941860777,579.7533773733154
2000,1,340.2252199670261,614.3180783267306
2000,2,339.10036126436756,605.8694043983267
2000,3,336.663975707302,596.7672051269511
2000,4,340.07769646834237,599.5854435266959
2001,1,347.6862466272808,607.1851188349304
2001,2,328.5271690095192,567.8017841462195
2001,3,303.022681855377,523.0343086142241
2001,4,299.80855841236325,518.9461768896782
2002,1,320.0193032244613,551.9574456322576
2002,2,317.7858551183023,542.2127643216459
2002,3,303.300146640535,515.3001195708606
2002,4,308.8519570655761,523.0912227978016
2003,1,319.18505597306967,535.1762461448934
2003,2,314.36923232874454,525.188320460986
2003,3,312.39056189257,519.3378843516019
2003,4,315.7727483656327,524.8658532088391
2004,1,320.23343092579756,527.5175278593097
2004,2,309.31977665607934,502.347759933982
2004,3,296.536881326434,479.8944769378876
2004,4,297.2805762247562,478.2393465542562
2005,1,301.38713969724523,481.8142938766107
2005,2,306.5974098426625,483.6756732555782
2005,3,305.908538301519,476.7874110358585
2005,4,314.7648409928125,488.11139609657994
2006,1,323.3357823594857,498.7140209058324
2006,2,341.53766556640875,518.0218658425979
2006,3,330.123066678126,497.91948814618235
2006,4,318.16064963605646,484.0006394875025
2007,1,317.84361703804296,478.4992919177309
2007,2,325.34642368049106,480.7216443945606
2007,3,327.559020995285,482.65911353546437
2007,4,329.7706813325414,482.4864869700061
2008,1,333.294282826703,482.16078099465045
2008,2,346.93321661480877,491.1100119846082
2008,3,358.926102477039,502.2454496608247
2008,4,345.4205775856224,497.4167417955948
2009,1,313.8154171171135,454.16436627723766
2009,2,301.7817449674558,432.1665537727199
2009,3,306.951474063443,436.6050021853279
2009,4,319.85267293861864,454.04207001868446
2010,1,328.1153845864413,463.9090776782545
2010,2,340.76950001735554,479.52214375707155
2010,3,339.712288826001,477.5891089251772
2010,4,334.7768007170656,469.2665426932573
2011,1,355.71980693899775,492.3950511296845
2011,2,369.77238084706755,503.0767363551605
2011,3,360.740504530074,488.7920307805632
2011,4,368.385034820312,499.91027115740746
2012,1,372.8284953850917,501.9465087652097
2012,2,384.7833583745065,513.789807745364
2012,3,366.965809581186,488.92621041604195
2012,4,374.2296538702289,498.42454522964107
2013,1,378.338061961859,500.93920917619187
2013,2,378.5105288245413,498.4709331399514
2013,3,391.638288160235,513.8171181650878
2013,4,388.131327847898,510.64113070267615
2014,1,387.366656698023,505.78494970208135
2014,2,402.3135021029325,519.1703420883649
2014,3,399.246496352125,514.6223397757968
2014,4,395.355155131754,513.7335507678055
2015,1,390.128123741252,509.71016690497305
2015,2,388.8569045844934,501.9972369249689
2015,3,374.105782148318,481.6888960257088
2015,4,365.388879435191,472.59115982089327
2016,1,359.4666865856,464.6311312532234
2016,2,355.24406413677997,453.8524103858538
2016,3,349.107443538814,444.5335091362482
2016,4,346.71793272649376,440.5103798992619
2017,1,349.438846630801,440.48427024529116
2017,2,355.8725121627739,446.1692027383186
2017,3,335.828696104779,419.3762918269188
2017,4,347.33,432.1372658733591
2018,1,346.485863339086,427.3006276946361
2018,2,349.11745381571905,425.97416958668055
2018,3,343.284850341627,417.65731346073335
2018,4,359.2961981145357,437.38898605792826
2019,1,350.122598122657,424.79794422951994
2019,2,357.06898282037434,428.09510122007333
2019,3,345.090011619249,412.60212684908504
2019,4,356.5125251273223,425.35321913767353
2020,1,336.00093489825167,399.2065668764296
2020,2,259.1211332180157,309.53639836744105
2020,3,244.7105014461403,289.0514229380261
2020,4,260.6724669361526,307.1992505988804
2021,1,260.20121140272516,303.388179587493
2021,2,299.7865022646096,341.55205373334417
2021,3,314.0729743696287,352.1904021843504
2021,4,327.13713261724473,361.3555748584543
2022,1,328.49312099147795,354.75274626849125
2022,2,397.1605937779304,416.52278132806924
2022,3,382.5399078761211,395.98346980271884
2022,4,393.8509323264735,406.20058521054193
2023,1,381.55376361697887,389.44845209937256
2023,2,391.78604043087245,395.180578691036
2023,3,367.78632722150803,367.78632722150803
